date,pond_id,water_depth,location,FILTER,date_analysis,BW_CONCENTRATION_Pb,PH
24047,103,BW,A,Y,12/10/24,6.566021747,6.56
24050,100,BW,A,Y,1/28/25,2.732828054,7.8
24170,103,BW,A,Y,9/26/24,NA,7.13
24170,103,BW,B,Y,9/26/24,NA,7.15
24170,103,BW,C,Y,9/26/24,NA,7.08
24170,32,BW,A,Y,9/26/24,NA,6.62
24170,32,BW,B,Y,9/26/24,NA,6.75
24170,32,BW,C,Y,9/26/24,NA,6.72
24171,512,BW,A,Y,9/24/24,0.141197573,7.16
24171,512,BW,B,Y,9/24/24,0.958313885,6.88
24171,518,BW,A,Y,9/24/24,0.160532971,7.43
24171,518,BW,B,Y,9/24/24,0.117629275,7.37
24171,518,BW,C,Y,9/24/24,0.219718158,7.5
24177,507,BW,A,Y,1/28/25,0.201763627,7.3
24177,507,BW,B,Y,1/28/25,0.264700924,7.3
24177,507,BW,C,Y,1/28/25,0.878304394,7.37
24177,508,BW,A,Y,1/28/25,0.248087463,7.36
24177,508,BW,B,Y,1/28/25,0.45862877,7.45
24177,508,BW,C,Y,1/28/25,0.281630245,7.41
24178,509,BW,A,Y,1/28/25,1.256413078,8.61
24178,509,BW,B,Y,1/28/25,0.316017131,8.55
24178,69,BW,A,Y,1/28/25,0.355291179,7.28
24178,69,BW,B,Y,1/28/25,0.990480193,6.73
24178,69,BW,C,Y,1/28/25,0.438723907,6.65
24184,48,BW,A,Y,9/26/24,0.461819117,6.46
24184,48,BW,B,Y,9/26/24,0.392170385,6.46
24184,48,BW,C,Y,9/26/24,0.329909737,6.71
24185,425,BW,A,Y,9/24/24,NA,6.86
24185,425,BW,B,Y,9/24/24,NA,7.33
24185,425,BW,C,Y,9/24/24,NA,7.39
24189,24,BW,A,Y,9/24/24,0.222980697,6.6
24189,24,BW,B,Y,9/24/24,0.429699688,6.64
24189,24,BW,C,Y,9/24/24,0.400355911,6.75
24189,213,BW,A,Y,9/24/24,0.032314636,6.3
24189,213,BW,B,Y,9/24/24,0.123535133,6.56
24189,213,BW,C,Y,9/24/24,0.659440827,6.82
24190,426,BW,A,Y,9/24/24,0.13465081,7.18
24190,426,BW,B,Y,9/24/24,0.096496378,6.73
24190,426,BW,C,Y,9/24/24,0.348203486,7.17
24206,570,BW,A,Y,9/26/24,0.437962564,7.42
24212,31,BW,A,Y,9/26/24,NA,
24212,31,BW,B,Y,9/26/24,0.095366647,
24212,31,BW,C,Y,9/26/24,0.340615265,
24213,573,BW,A,Y,9/26/24,0.233192363,
24213,573,BW,B,Y,9/26/24,0.055115637,
24213,572,BW,A,Y,9/26/24,NA,
24213,572,BW,B,Y,9/26/24,0.047687122,
24213,572,BW,C,Y,9/26/24,NA,
24219,15,BW,A,Y,9/26/24,1.592275482,7.3
24219,15,BW,B,Y,9/26/24,NA,6.86
24219,510,BW,A,Y,9/26/24,0.169766779,7.73
24219,510,BW,B,Y,9/26/24,0.25578777,7.59
24219,510,BW,C,Y,9/26/24,0.130876443,7.43
24220,324,BW,A,Y,9/24/24,0.190892604,7.5
24220,324,BW,B,Y,9/24/24,0.827207313,7.3
24220,324,BW,C,Y,9/24/24,0.105981627,7.28
24255,83,BW,A,Y,9/24/24,NA,6.54
24255,83,BW,B,Y,9/24/24,NA,6.49
24276,339,BW,A,Y,12/10/24,0.918945357,7.8
24276,339,BW,B,Y,12/10/24,0.722019509,7.45
24276,339,BW,C,Y,12/10/24,0.47935466,7.14
24289,59,BW,A,Y,12/10/24,0.159344904,
24289,59,BW,B,Y,12/10/24,0.053551181,
25043,506,BW,A,Y,,0.08140207,
25043,506,BW,B,Y,,0.127176081,
25051,70,BW,A,Y,,0.301806605,
25051,70,BW,B,Y,,0.927813327,
25051,58,BW,A,Y,,0.186048033,
25051,58,BW,B,Y,,0.614433395,
25056,81,BW,A,Y,,0.112357865,
25056,81,BW,B,Y,,0.435391687,
25056,16,BW,A,Y,,0.158385234,
25056,16,BW,B,Y,,0.070772969,
25056,16,BW,C,Y,,0.321383665,
25056,54,BW,A,Y,,0.128508819,
25056,54,BW,B,Y,,0.243554714,
25057,6,BW,A,Y,,0.262113598,
25057,6,BW,B,Y,,0.014685409,
