date,pond_id,location,mean_do,rtrm_topbtm
24033,83,A,3.46,18.0068234
24047,103,A,5.66,1.96464487
24050,100,A,10.43,570.755503
23080,37,D,1.63,178.28566
23249,37,C,0.24,110.117102
24177,508,A,2.93,55.9125283
24177,508,B,2.23,91.086751
24177,508,C,3.5,52.2360368
24171,518,A,4.45,71.4014477
24171,518,B,0.72,95.9685565
24171,518,C,1.5,98.7311721
24185,425,A,3.37,231.434054
24185,425,B,4.18,60.171213
24185,425,C,10.45,33.5418077
24178,69,A,6.01,33.2268097
24178,69,B,8.7,199.028129
24178,69,C,10.45,156.3176
24178,509,A,18.71,NA
24178,509,B,16.54,NA
24189,24,A,0.44,NA
24189,24,B,0.79,NA
24189,24,C,0.7,NA
24184,49,A,2,NA
24184,49,B,0.6,NA
24189,213,A,0.62,262.721325
24189,213,B,5.57,33.0385975
24189,213,C,7.22,31.2172044
24184,48,A,1.05,14.86996
24184,48,B,0.6,14.2908866
24184,48,C,0.35,14.8075359
24190,426,A,1.58,NA
24190,426,B,1.27,205.83169
24190,426,C,0.21,21.038253
24206,570,A,6.97,33.0594375
24206,570,B,7.83,25.7868751
24206,570,C,7.54,66.6190109
24212,31,A,3.62,51.5166096
24212,31,B,3.51,45.1152504
24212,31,C,3.13,27.2747412
24213,572,B,3.85,51.5713787
24213,572,C,3.56,46.8302938
24213,573,A,0.19,200.93949
24213,573,B,0.09,237.710862
24170,103,A,5.49,25.0670096
24170,103,B,5.47,24.5397437
24170,103,C,5.69,13.8519751
24170,32,A,0.31,131.196357
24170,32,B,0.19,174.309306
24170,32,C,0.04,131.678124
24171,512,A,0.58,60.7214469
24171,512,B,3.95,13.9167238
24177,507,A,4.66,130.982247
24177,507,B,8.42,NA
24177,507,C,2.39,115.975977
24219,510,A,6.24,26.7102164
24219,510,B,6.11,54.8669542
24219,510,C,4.65,39.3329238
24219,15,A,3.47,47.1074505
24219,15,B,3.78,17.9059063
24220,324,A,3.85,29.0826974
24220,324,B,2.92,55.8253893
24220,324,C,2.95,66.6871129
24289,59,A,5.37,1.00643058
24289,59,B,5.74,-2.8366387
24299,574,A,2.67,226.256024
24299,574,B,3.48,213.470816
25051,70,A,0.92,37.8425129
25051,70,B,0.33,43.7565975
25051,58,A,0.76,57.919831
25051,58,B,0.33,37.8969041
25043,506,A,0.63,75.760937
25043,506,B,0.2,130.011922
25056,54,A,11.37,12.8436446
25056,54,B,6.18,363.960567
25056,16,A,5.49,306.734282
25056,16,B,3.31,606.713967
25056,16,C,6.09,435.978434
25056,81,A,11.51,3.52153298
25056,81,B,11.62,299.382932
25057,6,A,1.91,21.9456259
25057,6,B,1.18,68.1406874
24276,339,A,8.71,4.70897609
24276,339,B,8.44,1.37073405
24276,339,C,8.06,2.2966165
23293,229,A,6.7,1.089053961
23293,229,B,7.33,3.848407318
23293,229,C,6.125,17.96981278
23297,505,C,7.27,1.737820159
24255,83,A,2.895,7.019502726
24255,83,B,3.46,20.63582388
