date,pond_id,location,core,sediment_depth,water_depth,FILTER,date_analysis,PW_CONCENTRATION_Pb
23255,37,C,C1,0,PW,Y,4/24/24,0.511320268
23255,37,A,A2,0,PW,Y,4/24/24,1.027867694
23255,37,B,B1,0,PW,Y,4/24/24,1.096311592
23255,37,B,B2,0,PW,Y,4/24/24,1.076845313
23255,37,C,C2,10,PW,Y,4/24/24,0.378455818
23255,37,C,C1,15,PW,Y,4/24/24,1.801029134
23293,229,A,A1,0,PW,Y,4/24/24,1.100238968
23293,229,A,A2,0,PW,Y,4/24/24,0.251724002
23293,229,B,B1,0,PW,Y,4/24/24,0.261577359
23293,229,C,C1,0,PW,Y,4/24/24,0.291790176
23293,229,C,C2,0,PW,Y,4/24/24,0.218442272
23293,229,B,B2,15,PW,Y,4/24/24,1.34590064
23293,229,C,C2,20,PW,Y,4/24/24,0.124227544
23293,229,C,C1,20,PW,Y,4/24/24,0.135622639
23297,505,A,A1,0,PW,Y,,0.199795462
23297,505,A,A2,0,PW,Y,,0.326591449
23297,505,B,B1,0,PW,Y,,0.236956811
23297,505,B,B2,0,PW,Y,,0.171748479
23297,505,C,C1,0,PW,Y,,0.391671548
23297,505,C,C2,0,PW,Y,,0.459664524
24033,83,A,A1,0,PW,Y,12/10/24,0.764337178
24047,103,A,A1,0,PW,Y,12/10/24,0.380518984
24050,100,A,A1,0,PW,Y,12/10/24,0.26545246
24050,100,A,A1,10,PW,Y,12/10/24,0.706640376
24170,32,B,B1,0,PW,Y,9/26/24,1.795497687
24170,103,A,A1,0,PW,Y,9/26/24,0.286870739
24170,103,B,B1,0,PW,Y,9/26/24,0.153047177
24170,103,C,C1,0,PW,Y,9/26/24,2.660431246
24170,103,A,A1,10,PW,Y,9/26/24,1.699734411
24170,103,C,C1,10,PW,Y,9/26/24,0.594960234
24171,512,A,A1,0,PW,Y,,0.21201162
24171,512,B,B1,0,PW,Y,9/26/24,0.704406646
24171,518,A,A1,0,PW,Y,9/24/24,0.325855335
24171,518,B,B1,0,PW,Y,9/26/24,0.579665067
24171,518,C,C1,0,PW,Y,9/24/24,0.036300359
24171,518,B,B1,10,PW,Y,9/26/24,1.103705861
24177,507,A,A1,0,PW,Y,1/28/25,0.296667111
24177,507,B,B1,0,PW,Y,1/28/25,0.284332489
24177,508,A,A1,0,PW,Y,,0.156956919
24177,508,B,B1,0,PW,Y,,0.138529283
24177,508,C,C1,0,PW,Y,,0.076540369
24177,507,B,B1,10,PW,Y,1/28/25,0.20596003
24177,508,A,A1,10,PW,Y,,0.209128302
24177,508,B,B1,10,PW,Y,,0.248085417
24177,508,C,C1,10,PW,Y,,0.030311927
24177,508,A,A1,20,PW,Y,,0.640210817
24177,508,B,B1,20,PW,Y,,0.496050671
24177,508,C,C1,20,PW,Y,,0.206847249
24178,509,A,A1,0,PW,Y,1/28/25,1.154378048
24178,509,B,B1,0,PW,Y,1/28/25,0.335618546
24178,508,A,A1,0,PW,Y,,0.341272224
24178,508,B,B1,0,PW,Y,,0.251099345
24178,508,C,C1,0,PW,Y,,0.18563831
24178,508,A,A1,10,PW,Y,,-0.021253069
24178,508,B,B1,10,PW,Y,,0.275553615
24178,508,A,A1,20,PW,Y,,0.202717244
24184,48,A,A1,0,PW,Y,9/26/24,0.15188334
24184,48,B,B1,0,PW,Y,9/26/24,0.252759443
24184,48,C,C1,0,PW,Y,9/26/24,0.295454255
24184,49,A,A1,0,PW,Y,9/26/24,7.70003858
24184,49,B,B1,0,PW,Y,9/24/24,0.980540864
24184,48,B,B1,10,PW,Y,9/26/24,0.160858525
24184,48,C,C1,10,PW,Y,9/26/24,0.177189571
24185,425,A,A1,0,PW,Y,9/24/24,0.401209683
24185,425,B,B1,0,PW,Y,9/24/24,0.434305286
24185,425,C,C1,0,PW,Y,9/24/24,0.108405416
24185,425,B,B1,10,PW,Y,9/24/24,0.268302238
24185,425,C,C1,10,PW,Y,9/24/24,0.364123772
24189,24,A,A1,0,PW,Y,9/26/24,0.695371554
24189,24,B,B1,0,PW,Y,9/26/24,0.551369212
24189,24,C,C1,0,PW,Y,9/26/24,0.288195625
24189,213,A,A1,0,PW,Y,9/26/24,0.293427366
24189,213,B,B1,0,PW,Y,9/26/24,0.480153996
24189,213,C,C1,0,PW,Y,9/24/24,0.145392735
24189,24,B,B1,10,PW,Y,9/24/24,0.359920107
24189,213,C,C1,10,PW,Y,9/24/24,0.0579654
24190,426,A,A1,0,PW,Y,,0.04562827
24190,426,A,A2,0,PW,Y,,0.346451511
24190,426,B,B1,0,PW,Y,,0.061355165
24190,426,B,B2,0,PW,Y,,0.056655792
24190,426,C,C1,0,PW,Y,,0.736355762
24190,426,A,A2,10,PW,Y,,0.449325086
24190,426,C,C1,10,PW,Y,,0.122873049
24190,426,C,C1,20,PW,Y,,0.12329007
24206,570,A,A1,0,PW,Y,,0.064983312
24206,570,A,A2,0,PW,Y,,0.348075809
24206,570,B,B1,0,PW,Y,,0.272693038
24206,570,B,B2,0,PW,Y,,0.367106058
24206,570,C,C1,0,PW,Y,,0.199374098
24206,570,C,C2,0,PW,Y,,0.391803697
24206,570,A,A1,10,PW,Y,,0.641039983
24206,570,A,A2,10,PW,Y,,2.25075485
24206,570,B,B1,10,PW,Y,,2.246851478
24206,570,B,B2,10,PW,Y,,2.270498946
24206,570,C,C1,10,PW,Y,,0.543576211
24206,570,C,C2,10,PW,Y,,1.388912135
24206,570,A,A2,20,PW,Y,,0.546133887
24206,570,B,B1,20,PW,Y,,0.409324036
24206,570,B,B2,20,PW,Y,,0.569296922
24206,570,C,C1,20,PW,Y,,0.464619226
24206,570,C,C2,20,PW,Y,,1.715607951
24206,570,A,A2,30,PW,Y,,0.984915319
24206,570,B,B1,30,PW,Y,,0.651785932
24206,570,B,B2,30,PW,Y,,0.140736155
24206,570,C,C1,30,PW,Y,,1.434233869
24206,570,C,C2,30,PW,Y,,0.169245305
24206,570,B,B1,40,PW,Y,,1.544334538
24212,31,A,A1,0,PW,Y,9/26/24,0.333684125
24212,31,B,B1,0,PW,Y,9/26/24,1.197943698
24212,31,C,C1,0,PW,Y,9/26/24,0.223497515
24212,31,C,C1,10,PW,Y,9/26/24,1.158938499
24212,31,C,C1,20,PW,Y,9/26/24,0.562940527
24213,572,B,B1,0,PW,Y,9/26/24,2.80351851
24213,572,C,C1,0,PW,Y,9/26/24,0.371173016
24213,573,A,A1,0,PW,Y,9/26/24,0.156292271
24213,573,B,B1,0,PW,Y,9/26/24,0.235612326
24213,572,B,B1,10,PW,Y,9/26/24,0.599692089
