date,pond_id,location,core,sediment_depth,Pb_ppm
25057,6,A,A1,0,58
25057,6,B,B1,0,44
25057,6,A,A1,10,48
25057,6,B,B1,10,31
24219,15,A,A1,0,41
24219,15,B,B1,0,38
24219,15,A,A1,10,31
24219,15,B,B1,10,35
25056,16,A,A1,0,52
25056,16,B,B1,0,27
25056,16,C,C1,0,45
25056,16,A,A1,10,36
25056,16,B,B1,12,61
25056,16,C,C1,15,42
24189,24,A,A1,0,75
24189,24,B,B1,0,68
24189,24,B,B1,10,38
24189,24,C,C1,10,41
24212,31,A,A1,0,102
24212,31,B,B1,0,70
24212,31,C,C1,0,122
24212,31,C,C1,10,108
24212,31,C,C1,20,65
24170,32,A,A1,0,29
24170,32,B,B1,0,25
24170,32,C,C1,0,49
23249,37,C,C1,0,72
23080,37,D,D1,0,73
23080,37,D,D1,10,333
23249,37,C,C1,15,276
24184,48,A,A1,0,162
24184,48,B,B1,0,156
24184,48,C,C1,0,130
24184,48,B,B1,10,114
24184,48,C,C1,10,42
24184,49,A,A1,0,91
24184,49,B,B1,0,127
25056,54,A,A1,0,46
25056,54,B,B1,0,39
25056,54,B,B1,10,45
25056,54,A,A1,15,34
25051,58,A,A1,0,0
25051,58,A,A2,0,116
25051,58,B,B1,0,111
25051,58,B,B1,10,130
25051,58,A,A1,20,126
25051,58,B,B1,20,129
24289,59,A,A1,0,185
24289,59,B,B1,0,213
24289,59,A,A1,10,127
24178,69,A,A1,0,88
24178,69,C,C1,0,71
24178,69,A,A1,10,102
24178,69,B,B1,10,118
24178,69,C,C1,10,16
24178,69,A,A1,20,74
25051,70,A,A1,0,256
25051,70,B,B1,0,236
25051,70,A,A1,10,254
25051,70,A,A1,20,266
25056,81,A,A1,0,29
25056,81,B,B1,0,20
24033,83,A,A1,0,19
24255,83,A,A1,0,29
24255,83,B,B1,0,23
24033,83,A,A1,10,10
24050,100,A,A1,0,56
24050,100,A,A1,10,60
24170,103,A,A1,0,125
24170,103,B,B1,0,106
24170,103,C,C1,0,77
24170,103,A,A1,10,95
24170,103,C,C1,10,80
24189,213,A,A1,0,28
24189,213,B,B1,0,18
24189,213,C,C1,0,17
24189,213,C,C1,10,10
23293,229,A,A1,0,65
23293,229,A,A2,0,81
23293,229,A,A3,0,24
23293,229,B,B1,0,25
23293,229,B,B2,0,37
23293,229,C,C1,0,23
23293,229,B,B2,15,27
23293,324,A,A1,0,39
24220,324,B,B1,0,40
24220,324,C,C1,0,85
24220,324,A,A1,10,70
24220,324,B,B1,10,57
24220,324,C,C1,10,88
24220,324,B,B1,20,49
24220,324,C,C1,20,122
24220,324,B,B1,30,73
24220,324,B,B1,40,107
24276,339,A,A1,0,62
24276,339,B,B1,0,53
24276,339,C,C1,0,58
24276,339,A,A1,10,84
24276,339,B,B1,10,363
24276,339,C,C1,10,66
24276,339,A,A1,20,15
24276,339,B,B1,20,221
24275,424,A,A1,0,127
24275,424,A,A2,0,132
24275,424,A,A1,10,124
24275,424,A,A2,10,32
24275,424,A,A1,20,15
24275,424,A,A2,20,8
24185,425,A,A1,0,218
24185,425,B,B1,0,61
24185,425,C,C1,0,121
24185,425,B,B1,10,98
24185,425,C,C1,10,59
24170,426,A,A1,0,67
24190,426,A,A2,0,56
24190,426,B,B1,0,20
24190,426,B,B2,0,21
24190,426,C,C1,0,65
24190,426,A,A2,10,60
24190,426,C,C1,10,65
24190,426,C,C1,20,70
23297,505,A,A2,0,60
23297,505,B,B1,0,27
23297,505,B,B2,0,37
23297,505,C,C1,0,200
23297,505,C,C2,0,120
23297,505,A,A2,5,45
23297,505,C,C1,5,90
23297,505,C,C2,5,85
25043,506,A,A1,0,150
25043,506,B,B1,0,137
25043,506,A,A1,10,136
25043,506,B,B1,10,130
25043,506,A,A1,20,162
24177,507,A,A1,0,68
24177,507,B,B1,0,24
24177,507,C,C1,0,58
24177,507,B,B1,10,47
24177,508,A,A1,0,93
24177,508,B,B1,0,103
24177,508,C,C1,0,34
24177,508,A,A1,10,86
24177,508,B,B1,10,94
24177,508,C,C1,10,61
24177,508,A,A1,20,105
24177,508,B,B1,20,107
24177,508,C,C1,20,90
24178,509,A,A1,0,103
24178,509,B,B1,0,54
24219,510,A,A1,0,31
24219,510,B,B1,0,57
24219,510,C,C1,0,82
24219,510,B,B1,10,55
24219,510,C,C1,10,90
24219,510,B,B1,20,89
24219,510,C,C1,20,84
24219,510,B,B1,30,67
24219,510,B,B1,40,93
24171,512,A,A1,0,25
24171,512,B,B1,0,12
24171,518,A,A1,0,10
24171,518,B,B1,0,35
24171,518,C,C1,0,9
24171,518,A,A1,10,20
24171,518,B,B1,10,34
24206,570,A,A1,0,454
24206,570,A,A2,0,354
24206,570,B,B1,0,366
24206,570,B,B2,0,419
24206,570,C,C1,0,361
24206,570,C,C2,0,320
24206,570,A,A2,10,510
24206,570,B,B1,10,426
24206,570,B,B2,10,1012
24206,570,C,C1,10,455
24206,570,C,C2,10,326
24206,570,A,A2,20,779
24206,570,A,A2,20,1420
24206,570,B,B1,20,734
24206,570,B,B2,20,1681
24206,570,C,C1,20,1519
24206,570,C,C2,20,462
24206,570,B,B1,30,1786
24206,570,B,B2,30,810
24206,570,C,C1,30,966
24206,570,C,C2,30,1239
24206,570,B,B1,40,920
24213,572,B,B1,0,185
24213,572,C,C1,0,140
24213,572,B,B1,10,171
24213,572,B,B1,20,85
24213,573,A,A1,0,52
24213,573,B,B1,0,198
24213,573,A,A1,10,66
24299,574,A,A1,0,172
24299,574,B,B1,0,167
24299,574,A,A1,10,459
24299,574,B,B1,10,623
24299,574,A,A1,20,939
24299,574,B,B1,20,1090
24299,574,A,A1,30,399
24299,574,B,B1,30,660
25056,575,1,1,0,118
25056,575,3,3,0,179
25056,575,6,6,0,141
