date,pond_id,soil_location,soil_depth,soil_Pb_ppm
24171,512,A,10,20
24171,512,B,10,22
24171,512,C,10,85
24185,425,A,10,41
24185,425,C,10,64
24185,425,D,10,55
24170,32,A,10,10
24170,32,B,10,53
24170,32,C,10,46
24189,24,A,10,18
24189,24,B,10,153
24189,24,C,10,39
24213,572,Bulk 2,10,300
24213,572,Bulk 3,10,114
24213,572,Bulk 6,10,97
23293,324,Bulk 2,10,20
23293,324,Bulk 4,10,56
23293,324,Bulk 5,10,16
24220,425,Bulk 1,10,22
24220,425,Bulk 2,10,75
24184,48,Bulk 3,10,196
24184,48,Bulk 4,10,82
24184,49,SB 1,10,187
24170,426,Bulk 2,10,51
24170,426,Bulk 3,10,23
24170,426,Bulk 4,10,26
24170,426,Bulk 5,10,28
24213,573,Bulk 1,10,257
24206,570,Bulk 4,10,44
24206,570,Bulk 6,10,34
24299,574,A,10,83
24299,574,B,10,39
24299,574,C,10,135
24177,507,A,10,24
24177,507,B,10,44
24177,507,C,10,35
24177,508,A,10,147
24177,508,B,10,30
24177,508,C,10,24
24177,508,D,10,125
24178,509,A,10,34
24178,509,B,10,24
24178,509,C,10,38
24178,69,A,10,58
24178,69,B,10,50
24178,69,C,10,92
24178,69,D,10,45
24178,69,E,10,39
24276,339,A,10,97
24276,339,B,10,22
24276,339,C,10,119
24276,339,D,10,13
24190,426,A,10,80
24190,426,C,10,33
24189,213,A,10,22
24189,213,B,10,23
24189,213,C,10,22
24219,15,A,10,22
24219,15,B,10,15
24219,15,C,10,16
24170,103,A,10,18
24170,103,B,10,34
24170,103,C,10,11
24170,103,D,10,9
24184,48,A,10,20
24184,48,B,10,70
24184,48,C,10,160
24219,510,A,10,53
24219,510,B,10,64
24219,510,C,10,28
24219,510,D,10,52
24219,510,E,10,98
24289,59,A,10,37
24289,59,B,10,47
24289,59,C,10,16
24289,59,D,10,15
24289,59,E,10,19
24289,59,F,10,19
24171,518,A,10,9
24171,518,B,10,17
24171,518,C,10,12
