date,pond_id,location,depth_cm,temp_c,do_mgL,rev_cond_uscm,max_depth
24050,100,A,0,6,9.75,794,60
24050,100,A,25,4.7,15.7,1349,60
24050,100,A,50,4.8,15.88,7630,60
24050,100,A,60,6.3,0.37,11010,60
24047,103,A,0,5.3,7.39,142.7,70
24047,103,A,25,4.4,7.51,259,70
24047,103,A,50,4,7.43,147.1,70
24047,103,A,70,4.3,0.29,150.3,70
24170,103,A,0,22.2,7.27,99.9,60
24170,103,A,25,22.1,7.34,99.8,60
24170,103,A,50,22.1,7.15,99.6,60
24170,103,A,60,21.3,0.18,105.6,60
24170,103,B,0,22,6.37,100.9,50
24170,103,B,25,21.3,6.19,100.5,50
24170,103,B,50,21.1,3.86,99.9,50
24170,103,C,0,22.5,6.96,107,30
24170,103,C,25,22,5.56,101.3,30
24170,103,C,30,22,4.54,101.7,30
24219,15,A,0,21.3,6.48,105.9,150
24219,15,A,25,20.9,5.84,106.5,150
24219,15,A,50,20.2,3.94,110.2,150
24219,15,A,75,19.9,2.98,109.1,150
24219,15,A,100,19.6,1.92,110.8,150
24219,15,A,125,19.9,2.86,108,150
24219,15,A,150,19.5,0.24,118,150
24219,15,B,0,20,7.81,95.7,125
24219,15,B,25,21.4,7.13,96.5,125
24219,15,B,50,20.3,2.42,107.2,125
24219,15,B,75,19.7,1.97,97.7,125
24219,15,B,100,19.6,1.65,115.4,125
24219,15,B,125,19.4,1.71,160,125
25056,16,A,0,1.22,10.13,3910,125
25056,16,A,25,1,10.2,3870,125
25056,16,A,50,1.9,10.14,5990,125
25056,16,A,75,2.1,0.63,7700,125
25056,16,A,100,2,1.45,8130,125
25056,16,A,125,2.9,0.41,9150,125
25056,16,B,0,1.1,8.75,3710,160
25056,16,B,25,1.1,8.5,4080,160
25056,16,B,50,2.3,5.42,6280,160
25056,16,B,75,2.2,2.15,7510,160
25056,16,B,100,2.2,0.84,8250,160
25056,16,B,125,2.8,0.38,9450,160
25056,16,B,150,3.4,0.24,12410,160
25056,16,B,160,4.1,0.2,13970,160
25056,16,C,0,0.7,11.14,1447,125
25056,16,C,25,0.3,10.97,1842,125
25056,16,C,50,0.9,8.08,6120,125
25056,16,C,75,1.7,3.42,7290,125
25056,16,C,100,1.7,1.49,8010,125
25056,16,C,125,1.6,1.46,9040,125
24189,213,A,0,22.5,2.1,102.3,225
24189,213,A,25,21.3,1.69,102.8,225
24189,213,A,50,19.6,0.56,117.3,225
24189,213,A,75,19.2,0.69,173.8,225
24189,213,A,100,18.6,0.78,212.6,225
24189,213,A,125,17.7,0.16,267,225
24189,213,A,150,17.1,0.07,382,225
24189,213,A,175,16.1,0.06,626,225
24189,213,A,200,15.3,0.05,1250,225
24189,213,A,225,14.5,0.05,1670,225
24189,213,B,0,22.4,8.52,100.6,60
24189,213,B,25,22.1,9.01,93.5,60
24189,213,B,50,21.2,0.82,97.8,60
24189,213,B,60,21.2,3.94,98.1,60
24189,213,C,0,23.4,13.45,70.8,25
24189,213,C,25,22.3,0.98,57.9,25
23293,229,A,0,10.7,8.5,310,100
23293,229,A,100,10.7,4.9,333,100
23293,229,B,0,11,10.94,320,150
23293,229,B,150,10.9,3.72,375,150
23293,229,C,0,11.3,11.43,329,200
23293,229,C,200,11.6,0.82,784,200
24189,24,A,0,20,0.44,137.3,
24189,24,B,0,21.4,0.79,139.8,
24189,24,C,0,22.1,0.7,152.5,
24212,31,A,0,25.2,3.3,260,25
24212,31,A,25,23.7,3.94,375,25
24212,31,B,0,25.1,3.18,255,25
24212,31,B,25,23.8,3.83,365,25
24212,31,C,0,25.2,3.53,254,15
24212,31,C,15,24.4,2.73,304,15
24170,32,A,0,21,1.05,195,175
24170,32,A,25,19.8,0.25,200,175
24170,32,A,50,19,0.55,300,175
24170,32,A,75,18.3,0.27,312,175
24170,32,A,100,17.7,0.14,380,175
24170,32,A,125,17,0.09,460,175
24170,32,A,150,16,0.08,484,175
24170,32,A,175,16,0.08,502,175
24170,32,B,0,21,0.6,188.5,175
24170,32,B,25,20,0.41,188.8,175
24170,32,B,50,19,0.13,260,175
24170,32,B,75,18.6,0.11,330,175
